English,French
I am,Je suis
You are (informal),Tu es
He is,Il est
She is,Elle est
We are,Nous sommes
You are (formal/plural),Vous êtes
They are (masculine),Ils sont
They are (feminine),Elles sont
I was,J'étais
You were (informal),Tu étais
He was,Il était
She was,Elle était
We were,Nous étions
You were (formal/plural),Vous étiez
They were (masculine),Ils étaient
They were (feminine),Elles étaient
I will be,Je serai
You will be (informal),Tu seras
He will be,Il sera
She will be,Elle sera
We will be,Nous serons
You will be (formal/plural),Vous serez
They will be (masculine),Ils seront
They will be (feminine),Elles seront
